
> refinery-digital-twin@0.0.0 build:models
> node scripts/python.mjs -m scripts.build_models

01:09.187  reports          | WARNING Path 'D:\blender\5.2\datafiles\assets\brushes\essentials_brushes-gp_draw.blend' cannot be made relative for Material 'Dots Stroke'
Blender 5.2.1 LTS (hash 9e2066aef7ef built 2026-08-25 02:38:20)
01:09.187  reports          | WARNING Path 'D:\blender\5.2\datafiles\assets\brushes\essentials_brushes-gp_draw.blend' cannot be made relative for Material 'Material'
Info: Saved as "refinery.blend"
INFO Draco is available, use library at D:\blender\5.2\scripts\addons_core\io_scene_gltf2\bf_intern_draco_bridge.dll
INFO MeshOptimizer is available, use library at D:\blender\5.2\scripts\addons_core\io_scene_gltf2\bf_intern_meshopt_bridge.dll
07:26:00 | INFO: Starting glTF 2.0 export
07:26:00 | INFO: Extracting primitive: P-101A_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: P-101B_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: TK-101_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: TK-102_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: TK-103_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: E-201_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: E-202_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: E-203_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: E-204_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: E-205_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: E-206_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: E-207_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: F-201_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: P-201_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: P-202_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: P-203_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: P-204_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: PR-001_mesh
07:26:00 | INFO: Primitives created: 2
07:26:00 | INFO: Extracting primitive: PR-002_mesh
07:26:00 | INFO: Primitives created: 2
07:26:00 | INFO: Extracting primitive: PR-003_mesh
07:26:00 | INFO: Primitives created: 2
07:26:00 | INFO: Extracting primitive: PR-004_mesh
07:26:00 | INFO: Primitives created: 2
07:26:00 | INFO: Extracting primitive: PR-005_mesh
07:26:00 | INFO: Primitives created: 2
07:26:00 | INFO: Extracting primitive: PR-006_mesh
07:26:00 | INFO: Primitives created: 2
07:26:00 | INFO: Extracting primitive: PR-007_mesh
07:26:00 | INFO: Primitives created: 2
07:26:00 | INFO: Extracting primitive: T-201_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: V-202_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: V-203_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: C-501_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: EA-501_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: F-501_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: R-501_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: V-501_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: B-401_mesh
07:26:00 | INFO: Primitives created: 2
07:26:00 | INFO: Extracting primitive: B-402_mesh
07:26:00 | INFO: Primitives created: 2
07:26:00 | INFO: Extracting primitive: CR-401_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: CT-401_mesh
07:26:00 | INFO: Primitives created: 2
07:26:00 | INFO: Extracting primitive: CT-402_mesh
07:26:00 | INFO: Primitives created: 2
07:26:00 | INFO: Extracting primitive: CT-403_mesh
07:26:00 | INFO: Primitives created: 2
07:26:00 | INFO: Extracting primitive: CT-404_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: FL-401_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: P-401_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: SS-401_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: STK-401_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: V-401_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: V-402_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: BT-501_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: BT-502_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: SP-501_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: SP-502_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: P-301_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: P-302_mesh
07:26:00 | INFO: Primitives created: 3
07:26:00 | INFO: Extracting primitive: T-302_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: TK-301_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: TK-302_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: TK-303_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: TK-304_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: V-301_mesh
07:26:00 | INFO: Primitives created: 4
07:26:00 | INFO: Extracting primitive: conn_001_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_001_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_001_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_001_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_001_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_002_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_002_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_002_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_002_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_002_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_003_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_003_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_003_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_003_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_003_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_004_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_004_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_004_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_004_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_004_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_005_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_005_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_005_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_005_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_005_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_006_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_006_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_006_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_006_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_006_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_007_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_007_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_007_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_007_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_007_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_008_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_008_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_008_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_008_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_008_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_009_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_009_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_009_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_009_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_009_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_010_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_010_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_010_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_010_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_010_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_011_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_011_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_011_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_011_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_011_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_012_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_012_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_012_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_012_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_012_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_013_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_013_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_013_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_013_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_013_4_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_014_0_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_014_1_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_014_2_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_014_3_mesh
07:26:00 | INFO: Primitives created: 1
07:26:00 | INFO: Extracting primitive: conn_014_4_mesh
07:26:00 | INFO: Primitives created: 1
